Tên danh mục,Slug,Hình ảnh minh họa,Tóm tắt,Mô tả
Bộ phát Wi-Fi,bo-phat-wifi,/images/category/c001.png,Bộ phát Wi-Fi,Bộ phát Wi-Fi
Bộ mở rộng sóng,bo-mo-rong-song,/images/category/c002.png,Bộ mở rộng sóng,Bộ mở rộng sóng
Card mạng,card-mang,/images/category/c003.png,Card mạng,Card mạng
Thiết bị chia mạng (Switch),thiet-bi-chia-mang,/images/category/c004.png,Thiết bị chia mạng (Switch),Thiết bị chia mạng (Switch)
Thiết bị cân bằng tải,thiet-bi-can-bang-tai,/images/category/c005.png,Thiết bị cân bằng tải,Thiết bị cân bằng tải
Phụ kiện thiết bị mạng,phu-kien-thiet-bi-mang,/images/category/c006.png,Phụ kiện thiết bị mạng,Phụ kiện thiết bị mạng
Bộ chuyển đổi quang điện,bo-chuyen-doi-quang-dien,/images/category/c007.png,Bộ chuyển đổi quang điện,Bộ chuyển đổi quang điện
Thiết bị tường lửa (Firewall),thiet-bi-tuong-lua,/images/category/c008.png,Thiết bị tường lửa (Firewall),Thiết bị tường lửa (Firewall)
Module quang,module-quang,/images/category/c009.png,Module quang,Module quang
Thiết bị mạng khuyến mãi,thiet-bi-mang-khuyen-mai,/images/category/c010.png,Thiết bị mạng khuyến mãi,Thiết bị mạng khuyến mãi